"IDكود العميل","اسم العميل","رقم الشاسية","نوع الالة","اسم المهندس","نوع العقد","عداد تسليم اسود","عداد تسليم الوان","تاريخ انتهاء العقد","العنوان","التليفون","ملاحظات","Field1"
"391","اوفر برنت","C079C230028","MPC 8003","مجدى","زيارة","84606","273572","3/12/2024 12:00:00 AM","كوبرى الناموس ش/ فرن ام وحيد","1032923159","03/5043659",""
"958","أ / سعيد محمد حنفي","C498P300536","MPC407","رضا","زيارة","153246","40436","","وادى القمر","","أ / سعيد - تبع أ/ رضا القدس بدون ضمان","بدون ضمان"
"1151","م/محمد حامد","C498P900091","MPC407","مجدى","زيارة","105987","16769","5/14/2025 12:00:00 AM","5000نسخه المنشيه سوق الورق","1559311933","",""
"1275","شركة الحرير الصناعى","C498P901372","MPC307","رضا","زيارة","48398","30642","5/22/2025 12:00:00 AM","كفر الدوار","","ا/مجمد عزب",""
"1591","شركة مصرللغزل","C498PC00716","MPC401","رضا","زيارة","153080","40194","1/1/2026 12:00:00 AM","كفر الدوار","","",""
"1079","شركة مصرللغزل","C499P700801","MPC307","رضا","زيارة","45398","11688","1/1/2026 12:00:00 AM","كفر الدوار -  صابغى البيضا","1211072294","ا / اسامة عبد اللطيف",""
"2074","ا / احمد حمدى احمد","C507P704654","MPC307","شعبان","زيارة","96805","59758","7/6/2026 12:00:00 AM","المراغى ش الجامع بجوار فرن مصطفى","01273557942","",""
"2023","ا / عادل المحامى","C507P901740","MPC307","شعبان","زيارة","","","","ونجت 79 ش لافيزون بجوار صيدلية سامى المغربى","01220450534","",""
"1880","مركزالاسكندرية الوطنى للعيون","C507PA00396","MPC307","مجدى","زيارة","","","","","","",""
"","محمد باهر روبى محمد","C507PA00808","MPC307","عادل","زيارة","","","","مرغم - مساكن مبارك","01044194908","",""
"","ا / صابر خلف","C507PB01691","MPC307","يحيي","زيارة","","","","الحضرة الجديدة","01003973846","",""
"1440","شركة الفريدة (الدور 1)","C507PB01811","MPC307","شعبان","صيانة","20202","34239","11/5/2026 12:00:00 AM","سيدى بشر بجوار جزارة الثورة","1155561109","تبع م / رضا القدس",""
"2157","د / شريف عمر","C507PB04633","MPC307","كريم","زيارة","","","","المنشية","01227568856","",""
"4","سيليا للشحن والخدمات اللوجيستية","C507PB04844","MPC307","مجدى","ايجار","30471","17020","12/30/2026 12:00:00 AM","ش / فؤاد -- الخزنة الحسابات","01222392577","ا / احمد المراغى",""
"3","سيليا للشحن والخدمات اللوجيستية","C507PC01580","MPC307","مجدى","ايجار","208260","68657","12/30/2026 12:00:00 AM","ش / فؤاد -- اوبريشن","01222392577","ا / احمد المراغى",""
"1448","شركة ميسكو (الادارة) الدور 11","C507PC01580 ش","MPC307","","ارشيف","243197","30956","","خلف/ استاد الاسكندرية","1202767777","01283829774",""
"1367","ا / محمد فتح الله محمد","C507PC04129","MPC307","رضا","زيارة","47424","64858","12/4/2024 12:00:00 AM","حجر النواتية -- الضمان (5000) نسخة","1211303336","",""
"2197","شركة برفيكت للاعمال الهندسية","C507PC05907","MPC307","رضا","زيارة","","","","العامرية الناصرية","01211423639","م / محمود نصر",""
"","مدرسة حمدى عاشور","C507PC06158","MPC307","شعبان","زيارة","","","","ش / جمال عبد الناصر حلوانى كلاسيك","01550348991","طارق وديع",""
"1749","م / خالد عثمان","C508P104846","MPC307","","زيارة","129","136","","عميل خاص","","",""
"1207","اوشن لايف","C508P502956","MPC307","رضا","زيارة","153199","40429","7/6/2025 12:00:00 AM","السلطان حسين بجوار توكيل سامسونج 3         اشهراو5000 نسخه","1501433342","",""
"15","شركة الفريدة (الدور2)","C508P502995","MPC307","شعبان","صيانة","27582","40258","11/5/2026 12:00:00 AM","سيدى بشر بجوار جزارة الثورة","1155561109","تبع م/ رضا القدس",""
"2167","المدينة للمرأة لطب الاخصاب","C508P503425","MPC307","مجدى","زيارة","39366","15097","","","","",""
"1828","ا / احمد رجب","C508P600348","MPC307","شعبان","زيارة","","","","خورشيد","1062273273","",""
"1239","مكتبة الشروق خورشيد","C508P600366","MP307","شعبان","زيارة","","","6/16/2025 12:00:00 AM","عزبة خورشيد الضمان 3 شهور","1287150144","مجمود",""
"1986","امكو للمواد الغذائية","C508P701496","MPC307","كريم","زيارة","","","","برج العرب","","تبع عبد الرحمن المحاسب",""
"1990","ا / طارق صبرى السيد","C508P703476","MPC307","رضا","زيارة","115976","10750","5/6/2026 12:00:00 AM","الضمان(3000)نسخة","01200667804","",""
"1416","ايليت الطبية ( كيدز اريا )","C508P703476 ش","MP307","","ارشيف","80708","","","الطريق الدائرى قبل كارفور","1559993069","1000 جنية -- ا / عبد الرحمن",""
"2073","محمد السنان","C508P901816","MPC307","مجدى","زيارة","26211","651","7/6/2026 12:00:00 AM","","","",""
"1420","شركة ميسكو الريسبشن (الادارة)","C508P901816 ش","MPC307","","ارشيف","17","6","","خلف/ استاد الاسكندرية","1202767777","01283829774",""
"872","الاكاديمية سكرتارية مجلس الادارة","C508PB01624","MPC307","مجدى","صيانة","55164","31271","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"1532","الحاج محروس العمره","C508PB04157","MPC307","شعبان","زيارة","16146","39039","3/17/2025 12:00:00 AM","ضمان 3اشهر او5000نسخه","","",""
"2184","علاء الدين محمود السايح","C508PC03107","MPC307","رضا","ضمان","125309","18808","10/8/2026 12:00:00 AM","اسوان","01123511459","",""
"2072","ا / محمود داود","C508PC03639","MPC307","رضا","زيارة","80760","83261","7/6/2026 12:00:00 AM","تبع المحاسب فرع 45","01221775127","",""
"1093","مركز اكادى اكاديمى","C509P300570","MPC307","شعبان","زيارة","14307","24039","4/30/2025 12:00:00 AM"," ضمان 3شهور 5000 نسخه","35415105","01277017244سيدى جابر الشيخ",""
"1094","ا/محمد عبد الجميد","C509P300654","MPC307","شعبان","زيارة","5037","4194","4/30/2025 12:00:00 AM","5000 نسخه او 3 شهور عزبة حجازى","1220170040","0120440006",""
"969","م / عبد الرازق (تارجت )","C509P301036","MPC307","مجدى","زيارة","3237","4244","","ش/بابور المياة الحضرة","1228993473","",""
"2014","العالمية للصناعات الغذائية (نوفا)","C509P304145","MPC307","مجدى","زيارة","215418","","6/17/2026 12:00:00 AM","","","",""
"1930","نادى باكوس الرياضى","C509P304165","MPC307","مجدى","زيارة","122432","101334","4/9/2026 12:00:00 AM","جليم","","محمد السنان",""
"","مصنع التوحيد","C509P400782","MPC3002","مجدى","صيانة","90059","71874","1/31/2027 12:00:00 AM","كفر الدوار","1279588593","",""
"1362","ا/اشرف طنطاوى","C509P701324","MPC307","شعبان","زيارة","493838","109655","7/21/2025 12:00:00 AM","ضمان 3 شهور او5000 نسخه","1003942786","",""
"","المدينة للمراة","C509P702602","MPC306","مجدى","زيارة","36967","30322","","سموحة","","",""
"2209","المدينة للمرأة بيفرل هيلز","C509P904198","MPC307","مجدى","زيارة","","","","القاهرة -- الشيخ زايد","","",""
"1248","المدينة للمراة","C509P904817","MPC307","مجدى","زيارة","","","6/19/2025 12:00:00 AM","الضمان (5000) نسخة","","",""
"1344","سيكا مصر","C517P700436","MPC307","رضا","زيارة","19774","19371","7/15/2025 12:00:00 AM","الضمان 5000 نسخه او3 شهور","","",""
"1195","ا/ولاءمحمد ابراهيم","C517P700484","MPC307","شعبان","زيارة","55201","20175","6/6/2025 12:00:00 AM","الضمان 3 شهور او5000 نسخه","1271559231"," صلاح الدين العلافين ولاء",""
"1032","شركة مصرللغزل","C517PC00861","MPC307","رضا","زيارة","112673","47219","1/1/2026 12:00:00 AM","10000نسخه","","",""
"","المدينة للمراة","C517PC01053","MPC306","مجدى","زيارة","29794","35342","","سموحة","","د / اميرة",""
"1520","شركة سيكامصر","C518P10032","MPC307","مجدى","زيارة","50469","33879","5/1/2025 12:00:00 AM","خلف نادى الاولمبى ضمان ستة اشهر","","",""
"1519","شركة سيكا مصر","C518P100323","mpc305","مجدى","زيارة","","","5/1/2025 12:00:00 AM","ش / وابور المياة الحضره","","",""
"1078","شركة مصرللغزل","C518P300797","MPC307","رضا","زيارة","53556","7686","1/1/2026 12:00:00 AM","كفر الدوار -  صابغى البيضا","1211072294","ا / اسامة عبد اللطيف",""
"1642","شركة مصرللغزل","C518P402481","","كريم","زيارة","46753","13029","","كفر الدوار - صباغى البيضا","","",""
"2079","جولد برنت","C518P900843","MPC307","شعبان","زيارة","","","","ابيس بجوار محطة الكهرباء","1093940024","عمرو علام",""
"1412","محمد خميس عبد اللطيف","C518PA00026","MPC307","شعبان","زيارة","154108","82594","12/8/2025 12:00:00 AM","الضمان 3شهور حوض 10 بجوار قسم منتزه 3","1225164419","01148685976",""
"","اكاديمية رؤيتى","C518PC00922","MPC307","مجدى","ضمان","25610","12505","12/2/2026 12:00:00 AM","ش / الريادة حجر النواتية --الضمان(5000)نسخة","01002357032","",""
"2064","ا / سامى على","C519P200541","MPC307","شعبان","زيارة","135196","29209","6/30/2026 12:00:00 AM","المطار --الضمان(5000)نسخة","01223740047","",""
"1513","الاكاديمية شئون العاملين","C519P302531","MPC307","مجدى","صيانة","","","8/31/2026 12:00:00 AM","المنتزة","1285317616","ا / محمود العبودى",""
"1807","يسرى محمود صادق","C519P401516","MPC305","شعبان","زيارة","","","","العوايد","1009266523","",""
"","ح / حسنى الوكالة","C519P800222","MPC307","شعبان","ضمان","7730","4206","9/22/2026 12:00:00 AM","الحضرة -- الضمان (5000) نسخة","","تبع كابتن وليد الطحان",""
"2103","احمد رجب الصافى","C519P900182","MPC407","يحيي","زيارة","","","","","01286900071","ميدو",""
"1732","جولدين ستارز","CANON","SP6200","مجدى","صيانة","","","8/31/2026 12:00:00 AM","عزبة سكينه خلف شركة الكهرباء العوايد","1066856507","ا/ محمد صبحي ابراهيم",""
"216","بيت الجملة القاهرة / اكتوبر سيلفر(الملك)","E132PC00695","MPC305","","زيارة","","","","الالة ملك","","",""
"830","سنتر تعليمى ( سوزان )","E135P100006","MPC305","رضا","زيارة","","","","لوران ش / شعراوى خلف حسين بيك","1205202303","ا / سوزان عثمان",""
"404","ا/ حامد مصطفى القوني","E135P500002","MPC 305","شعبان","زيارة","279185","39782","5/5/2023 12:00:00 AM","كومباوند القضاة   -- ضمان (5000) نسخة","1149199968","",""
"428","مكتبة عامرM2Y","E135P500005","MPC305","شعبان","زيارة","356184","13916","2/20/2023 12:00:00 AM","الحضرة الجديدة اول ش/  الشرقاوي","1003439080","01149702828",""
"417","كوبى اند برنت","E135P500010","MPC 305","مجدى","زيارة","39959","5857","2/15/2023 12:00:00 AM","امام باب كلية الهندسة -- ضمان (5000) نسخة","1111418881","",""
"871","ا / اشرف زيد","E135P500014","MPC305","اسامة","زيارة","","","","المندرة","1224103157","",""
"30","المنطقة الشمالية (شعبة التدريب)","E154M130887","mpc3003","","صيانة","","","4/20/2025 12:00:00 AM","سيدي جابر","","03/5463247",""
"31","الاكاديمية  الكنترول","E154M631004","mpc3003","مجدى","صيانة","","","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"1160","سنترال المستقبل","E154M932940 ش","MPC3003","","ارشيف","460824","92902","","ض10000 نسخه او6 شهور اخر ونجت ش  اللا فيزون","1020065007","عادل ابراهيم",""
"1859","هشام المنشاوى","E154M932940 شش","MPC3003","","ارشيف","544912","99513","","ش / الجمهورية","1229601852","",""
"1107","شركة شوباش","E155MB30943","MP3003","شعبان","زيارة","229716","199672","8/3/2025 12:00:00 AM","جليم6 اشهراوضمان 10000 نسخه","1005264730","سامح ياسين",""
"33","م/ كمال اللوجيستك ( الميناء )","E163M830149","mpc3503","ايمن","زيارة","","","","الميناء","","",""
"616","شركة الفريدة (الدور 2)","E164M430062","MPC3503","شعبان","صيانة","","","11/5/2026 12:00:00 AM","سيدى بشر بجوار جزارة الثورة","1155561109","تبع م / رضا القدس",""
"","ا / عاطف رجب اسماعيل","E164M930205","MPC3503","عادل","زيارة","123224","132639","7/7/2026 12:00:00 AM","شاطئ الصفا --الضمان(5000)نسخه","01275532868","",""
"684","ماجيك برنتنج","E173M630390","MPC4503","مجدى","زيارة","","","","ش / ونجت بجوار كافية العشرى","1277987023","تبع م / رضا القدس",""
"1925","شركة العمران","E173M830728","MPC4503","مجدى","مطلوب عقد","343","12","7/5/2026 12:00:00 AM","397طريق الحريه مصطفى كامل","1223322583","مصطفى جبر",""
"1288","شركة دريم ( DREAM)","E173MC30141","MPC4503","ايمن","زيارة","","","","المنشية","","",""
"1083","وليم جروب للتطوير العقارى","E173MC30773","MPC4503","مجدى","صيانة","9117","13255","8/9/2026 12:00:00 AM","سبورتينج ش ابو قير","126667888","كرولس ناجح",""
"351","ا/ محمد عماد ( الفلكي)","E174J100449","MPC 4503","شعبان","زيارة","","","","الفلكي / شارع 16","1280464615","",""
"34","بلو اوشن","E174J401059","MPc4503","مجدى","صيانة","","","4/18/2027 12:00:00 AM","ش / النصر المنشية","1015231046","01277525465",""
"35","مكتبة علاء","E174J700144","mpc4503","شعبان","زيارة","","","4/7/2024 12:00:00 AM","كوبرى الناموس","1224441737","",""
"36","مكتبة مراون","E174M731180","mpc4503","","زيارة","","","","شارع الشركة العربية ابو سليمان","","",""
"37","دار ياسين للاستشارات","E174M731286","mpc 4503","","زيارة","","","12/27/2022 12:00:00 AM","مرسى مطروح","1007090781","",""
"38","مكتب الرائد للخدمات","E174M831512","mbc4503","ايمن","صيانة","","","6/1/2024 12:00:00 AM","المنشية ش النصر","","",""
"425","شركة السد العالى","E174MC31321","MPC 4503","رحيم","زيارة","","","","قنال المحمودية كوبرى 14 مايو","1002206642","01283827608",""
"573","مصنع التوحيد ( ا/ انس السورى)","E175J600024","MPC4503","مجدى","زيارة","363276","187199","8/3/2023 12:00:00 AM","كفر الدوار","1279588593","01204344446",""
"792","مصنع التوحيد (احمد عادل)","E175J600249","MPC 4503","مجدى","صيانة","","","1/31/2027 12:00:00 AM","كفر الدوار","1279588593","01204344446",""
"","مصنع التوحيد","E175M431449","MPC4503","مجدى","صيانة","","","1/31/2027 12:00:00 AM","كفر الدوار","1279588593","",""
"1335","الفارس للمقاولات العمومية","E175M630112","MPC4503","مجدى","صيانة","133257","151908","12/13/2026 12:00:00 AM","14 ابراج الياسمين عمارات الشرطة الجديدة كوم الدكة","1000054614","ا/ احمد سعيد",""
"435","مدرسة الظاهرية","E175M830201","MPC 4503","مجدى","زيارة","","","","باكوس","1275800952","ا / عزب",""
"1346","جولد برنت","E175M831060","MPC4503","شعبان","زيارة","378051","66540","10/18/2025 12:00:00 AM","ابيس بجوار محطة الكهرباء","1093940024","عمرو علام",""
"40","اليسر لهياكل السيارات","E175MB30300","mpc4503","","زيارة","","","1/27/2025 12:00:00 AM","العامرية ط الصحراوي","1204001120","03/4700057",""
"1281","شركة ترافيل سليوشن","E176J300347","MPC4503","شعبان","زيارة","13992","29253","9/26/2025 12:00:00 AM","الدور2 شقه 23جليم","1050558640","0100624VG7ا/محمود",""
"1307","مكتب عمرو نايل المحامى","E176M130109","MPC4503","رضا","زيارة","28475","85494","6/10/2025 12:00:00 AM","-العجمى الكيلو 22 الصفا-الضمان 10000نسخه","1275074588","01555695910",""
"1551","مكتب ديكور ميكاندا","E176M230863","MP4503","مجدى","زيارة","17848","47149","7/30/2025 12:00:00 AM","ضمان 6اشهر 10000نسخه ش الظاهر محرم بيك","1289897393","033959500 مينا سامى",""
"1341","ايوب برسوم","E176M420017","MPC4503","مجدى","صيانة","60470","68277","5/31/2027 12:00:00 AM"," محطة الرمل","1014995777","01221064000",""
"523","مكتبة الملكة والامل","E176M420158","MPC4503","","زيارة","817852","161331","","الازريطة","1222362229","",""
"41","الكتابة تجمعنا","E183jB00334","Mpc4503","","زيارة","644205","38316","11/13/2022 12:00:00 AM","ابو سليمان","1279541212","تم تغير كونترول يوم",""
"43","سنتر جلوبال","E186J300004","mp 5503","طارق","زيارة","","","8/14/2022 12:00:00 AM","جليم","1066164906","01147489907",""
"2069","المستثمرون العرب","E196M220302","MPC6003","شعبان","ضمان","647921","867712","10/13/2026 12:00:00 AM","ش / النقل والهندسة","01207432696","",""
"1749","شركة مكتب الاكاديمية البحرية","E196M220302 ش","MPC6003","","ارشيف","645852","86169","10/6/2026 12:00:00 AM","العالمين","1033446628","م / محمد فاروق",""
"1797","بنت ام يحيا الميناء","E196M220306","MPC305","رضا","زيارة","115051","466303","4/30/2026 12:00:00 AM","تم دفع 3000 وباقى 3000 جنية","","",""
"1636","المعتز المهدى","E196M220307","MPC6003","مجدى","زيارة","85502","507485","2/5/2026 12:00:00 AM","معتز محرم بيك","1212507775","",""
"1674","مكتب د/ احمد الزياد","E196M220337","MPC6003","شعبان","صيانة","759030","966862","1/27/2027 12:00:00 AM","العوايد","1119400050","ا/ احمد الزباد",""
"1812","مطبعة الحرية","E196M220343","MPC6003","عادل","زيارة","76418","126583","5/10/2026 12:00:00 AM","كفر الدوار الوسطانية ( الضمان 20000 نسخة )","1274646457","محمد عبد المنعم",""
"2082","علاء مطبعة الاخوة","E196M220373","MPC6003","مجدى","زيارة","","","","بجوار الشركة","1223018902","",""
"974","شركة الاقصى سموحة","E204R161178","MPC2003","شعبان","زيارة","","","","سموحة","1210747150","ا / ياسمين",""
"1426","سنتر دريم تكنولوجي","E204R763793","MPC2003","مجدى","زيارة","","","","شلرع الحجاز الجمرك-- بحري","1225773189","ا/ مصطفي",""
